Hash,AuthorDate,CommiterDate,AuthorEmail,AuthorName,CommiterEmail,CommiterName,Message,ChangeType,ParentCommit,AddedLinesInCommit,RemovedLinesInCommit,AddedLinesInContext,RemovedLinesInContext,Repo,RepoName,FileId,FileExt,PostId,PostTypeId,SOUrl
6e3d30e033bfd4afab22e79918e52fa9ce8144c7,2018-09-15 15:10:05-04:00,2018-09-15 15:10:05-04:00,8559,8559,8559,8559,ups,ModificationType.ADD,,5314,0,5314,0,troverman/conexus,conexus,599b248c2ca3130e61bf63aace253984c5a18bf6,.js,2068344,1,https://stackoverflow.com/q/2068344
6e3d30e033bfd4afab22e79918e52fa9ce8144c7,2018-09-15 15:10:05-04:00,2018-09-15 15:10:05-04:00,8559,8559,8559,8559,ups,ModificationType.ADD,,1013,0,1013,0,troverman/conexus,conexus,111f8138888537dd90971a9ddfc436b39e299bd1,.js,2068344,1,https://stackoverflow.com/q/2068344
0fe277b0d5746e923854cd8961e0815594d61e67,2016-08-24 15:56:05-04:00,2016-08-24 15:56:05-04:00,8559,8559,8559,8559,gmap,ModificationType.ADD,,14023,0,14023,0,troverman/conexus,conexus,c4962186014fd4f75776a5dd0f3a108e7289bc5f,.js,22758950,1,https://stackoverflow.com/q/22758950
31a734b61d2af8ba7d091aa6f6fdd19416040cd6,2016-08-24 18:18:16-04:00,2016-08-24 18:18:16-04:00,8559,8559,8559,8559,HM,ModificationType.MODIFY,0fe277b0d5746e923854cd8961e0815594d61e67,2658,2120,2568,2120,troverman/conexus,conexus,c4962186014fd4f75776a5dd0f3a108e7289bc5f,.js,22758950,1,https://stackoverflow.com/q/22758950
edb705664c1c5cf632964a854830dda4a0e39931,2016-08-29 04:37:45-04:00,2016-08-29 04:37:45-04:00,8559,8559,8559,8559,member,ModificationType.MODIFY,31a734b61d2af8ba7d091aa6f6fdd19416040cd6,2141,2679,1740,2623,troverman/conexus,conexus,c4962186014fd4f75776a5dd0f3a108e7289bc5f,.js,22758950,1,https://stackoverflow.com/q/22758950
0715f689195063e37efaa135ff1a1f96706af7d3,2016-09-14 11:31:43-07:00,2016-09-14 11:31:43-07:00,8560,8560,8560,8560,Sign Up and Login,ModificationType.ADD,,9394,0,9394,0,tripleagent93/Stockton-Unified,Stockton-Unified,a0272fd71ab5d2607e9a6c71299aac8eeabb69f8,.js,181348,1,https://stackoverflow.com/q/181348
c6c2658f0ec7b65368eb2b5f48d76111d5e7c670,2016-10-07 13:44:04-07:00,2016-10-07 13:44:04-07:00,8561,8561,8561,8561,Deleted Errthang,ModificationType.DELETE,0715f689195063e37efaa135ff1a1f96706af7d3,0,9394,0,9394,tripleagent93/Stockton-Unified,Stockton-Unified,a0272fd71ab5d2607e9a6c71299aac8eeabb69f8,.js,181348,1,https://stackoverflow.com/q/181348
ceb5a702cb873adf760cfceba4811ebb8c7657e4,2015-03-15 01:30:09+05:00,2015-03-15 01:30:09+05:00,8562,8562,8562,8562,Добавил momentJs. Базовая реализация конвертера,ModificationType.ADD,,3075,0,3075,0,TradeArea/quotes-converter,quotes-converter,a65f8ff8971c5102f76fcb144e79fc6f76b67672,.js,181348,1,https://stackoverflow.com/q/181348
aa3e950764337ef9800c936f4de89b31c00dfcf5,2013-08-28 11:57:13+02:00,2013-08-28 11:57:13+02:00,3181,3181,3181,3181,Tolerate junk at the end of gzip-compressed content (#1268),ModificationType.MODIFY,,17,2,17,2,TRox1972/youtube-dl,youtube-dl,528d87bb9d9d1bc542ff6310d74815cc2e801113,.py,4928560,1,https://stackoverflow.com/q/4928560
fc66e4a0d59d064518c3f18d65d1f4d87de8fb8f,2014-10-01 19:48:55+07:00,2014-10-01 19:48:55+07:00,3182,3182,3182,3182,[utils] Add posix expanduser implementation and clarify the original source,ModificationType.MODIFY,aa3e950764337ef9800c936f4de89b31c00dfcf5,61,27,0,1,TRox1972/youtube-dl,youtube-dl,528d87bb9d9d1bc542ff6310d74815cc2e801113,.py,4928560,1,https://stackoverflow.com/q/4928560
